West Palm Beach, FL (west+palm+beach-fl), 112782, (26.715364, -80.0532942)
Athens-Clarke County unified government, GA (athens-clarke+county+unified+government-ga), 126391, (33.9597677, -83.376398)
Atlanta, GA (atlanta-ga), 512550, (33.7489924, -84.3902644)
Columbus, GA (columbus-ga), 196442, (32.4610708, -84.9880449)
Macon-Bibb, GA (macon-bibb-ga), 152737, (32.8406946, -83.6324022)
Sandy Springs, GA (sandy+springs-ga), 109928, (33.9242688, -84.3785379)
Savannah, GA (savannah-ga), 143632, (43.4129206, -79.7028276)
South Fulton, GA (south+fulton-ga), 102567, (33.5902659, -84.6712292)
Cedar Rapids, IA (cedar+rapids-ia), 134027, (41.9758872, -91.6704053)
Davenport, IA (davenport-ia), 101799, (41.5236436, -90.5776368)
Des Moines, IA (des+moines-ia), 212312, (41.5910323, -93.6046655)
Boise City, ID (boise+city-id), 229776, (43.6166163, -116.200886)
Meridian, ID (meridian-id), 121182, (43.6086295, -116.392326)
Nampa, ID (nampa-id), 103215, (43.5737361, -116.559631)
Aurora, IL (aurora-il), 196383, (41.7571701, -88.3147539)
Chicago, IL (chicago-il), 2677643, (41.8755616, -87.6244212)
Elgin, IL (elgin-il), 110196, (42.03726, -88.2810994)
Joliet, IL (joliet-il), 146673, (41.5263603, -88.0840212)
Naperville, IL (naperville-il), 147986, (41.7728699, -88.1479278)
Peoria, IL (peoria-il), 109428, (40.6938609, -89.5891008)
Rockford, IL (rockford-il), 144835, (42.2713945, -89.093966)
Springfield, IL (springfield-il), 113671, (39.7990175, -89.6439575)
Carmel, IN (carmel-in), 101643, (39.9788017, -86.1189257)
Evansville, IN (evansville-in), 118407, (37.9747645, -87.5558483)
Fort Wayne, IN (fort+wayne-in), 272398, (41.0799898, -85.1386015)
South Bend, IN (south+bend-in), 101868, (41.6833813, -86.2500066)
Kansas City, KS (kansas+city-ks), 152727, (39.1134562, -94.626497)
Olathe, KS (olathe-ks), 141665, (38.8838856, -94.81887)
Overland Park, KS (overland+park-ks), 197381, (38.9742502, -94.6851702)
Topeka, KS (topeka-ks), 124558, (39.049011, -95.677556)
Wichita, KS (wichita-ks), 391731, (37.6922361, -97.3375448)
Lexington-Fayette urban, KY (lexington-fayette+urban-ky), 324735, (38.10551845, -84.55996125434804)
Baton Rouge, LA (baton+rouge-la), 219052, (28.2968872, -82.502277)
Lafayette, LA (lafayette-la), 126535, (31.3704662, -92.4373252)
New Orleans, LA (new+orleans-la), 389476, (29.9759983, -90.0782127)
Shreveport, LA (shreveport-la), 184786, (33.4201744, -96.572744)
Boston, MA (boston-ma), 691531, (42.3602534, -71.0582912)
Cambridge, MA (cambridge-ma), 119192, (42.3750997, -71.1056157)
Lowell, MA (lowell-ma), 110904, (42.6334247, -71.3161718)
Springfield, MA (springfield-ma), 152646, (42.1018764, -72.5886727)
Worcester, MA (worcester-ma), 184570, (42.2625621, -71.8018877)
Winnipeg, MB (winnipeg-mb), 705224, (49.8955367, -97.1384584)
Baltimore, MD (baltimore-md), 586131, (39.2908816, -76.610759)
Ann Arbor, MI (ann+arbor-mi), 119280, (42.2681569, -83.7312291)
Detroit, MI (detroit-mi), 665369, (42.3315509, -83.0466403)
Grand Rapids, MI (grand+rapids-mi), 200031, (42.9632405, -85.6678639)
Lansing, MI (lansing-mi), 117540, (42.7337712, -84.5553805)
Sterling Heights, MI (sterling+heights-mi), 131709, (42.5803122, -83.0302033)
Warren, MI (warren-mi), 132877, (38.7535106, -91.1453948)
Minneapolis, MN (minneapolis-mn), 433111, (44.9772995, -93.2654692)
Rochester, MN (rochester-mn), 119862, (44.0234387, -92.4630182)
St. Paul, MN (st.+paul-mn), 306717, (44.9497487, -93.0931028)
Columbia, MO (columbia-mo), 124769, (38.9464035, -92.3484631580807)
Independence, MO (independence-mo), 116774, (39.0924792, -94.4137923)
Kansas City, MO (kansas+city-mo), 497159, (39.100105, -94.5781416)
Lee's Summit, MO (lee's+summit-mo), 101467, (38.9107156, -94.3821295)
Springfield, MO (springfield-mo), 168090, (37.2166779, -93.2920373)
St. Louis, MO (st.+louis-mo), 297645, (38.6264256, -90.1995853)
Jackson, MS (jackson-ms), 157821, (39.04632065, -82.64344670649042)
Billings, MT (billings-mt), 109736, (45.7874957, -108.49607)
Fredericton, NB (fredericton-nb), 58220, (45.94780155, -66.65347069241668)
Moncton, NB (moncton-nb), 71889, (46.097995, -64.80011)
Saint John, NB (saint+john-nb), 67575, (45.278752, -66.058044)
Cary, NC (cary-nc), 173587, (35.7882893, -78.7812081)
Charlotte, NC (charlotte-nc), 900350, (35.2272086, -80.8430827)
Durham, NC (durham-nc), 285897, (35.996653, -78.9018053)
Fayetteville, NC (fayetteville-nc), 211705, (35.0525759, -78.878292)
Greensboro, NC (greensboro-nc), 297878, (36.0726355, -79.7919754)
High Point, NC (high+point-nc), 113565, (35.9556924, -80.0053176)
Raleigh, NC (raleigh-nc), 474414, (35.7803977, -78.6390989)
Wilmington, NC (wilmington-nc), 124794, (34.2257282, -77.9447107)
Winston-Salem, NC (winston-salem-nc), 248112, (36.0998131, -80.2440518)
Fargo, ND (fargo-nd), 125209, (46.877229, -96.789821)
Lincoln, NE (lincoln-ne), 290505, (40.8088861, -96.7077751)
Omaha, NE (omaha-ne), 478393, (41.2587459, -95.9383758)
Manchester, NH (manchester-nh), 112546, (42.9956397, -71.4547891)
Elizabeth, NJ (elizabeth-nj), 128382, (40.6639916, -74.2107006)
Jersey City, NJ (jersey+city-nj), 262664, (40.7215682, -74.047455)
Newark, NJ (newark-nj), 282520, (40.735657, -74.1723667)
Paterson, NJ (paterson-nj), 144801, (40.9167654, -74.171811)
St. John's, NL (st.+john's-nl), 108860, (47.561701, -52.715149)
Albuquerque, NM (albuquerque-nm), 562540, (35.0841034, -106.650985)
Las Cruces, NM (las+cruces-nm), 105096, (32.3140354, -106.7798078)
Cape Breton, NS (cape+breton-ns), 94285, (46.2950327, -60.93605535048172)
Halifax, NS (halifax-ns), 403131, (44.648618, -63.5859487)
Henderson, NV (henderson-nv), 329172, (36.0301134, -114.9826194)
Las Vegas, NV (las+vegas-nv), 662368, (36.1672559, -115.148516)
North Las Vegas, NV (north+las+vegas-nv), 260098, (36.2005843, -115.121584)
Reno, NV (reno-nv), 259290, (39.5261206, -119.8126581)
Sparks, NV (sparks-nv), 106900, (39.5404679, -119.7487235)
Buffalo, NY (buffalo-ny), 254479, (42.8867166, -78.8783922)
New York, NY (new+york-ny), 8253213, (40.7127281, -74.0060152)
Rochester, NY (rochester-ny), 205225, (43.157285, -77.615214)
Syracuse, NY (syracuse-ny), 141229, (43.0481221, -76.1474244)
Yonkers, NY (yonkers-ny), 200040, (40.9312099, -73.8987469)
Akron, OH (akron-oh), 195994, (41.083064, -81.518485)
Cincinnati, OH (cincinnati-oh), 304548, (39.1014537, -84.5124602)
Cleveland, OH (cleveland-oh), 378589, (41.4996562, -81.6936813)
